Marca;Modelo;Custo-Benefício;Hardware;Qualidade da Tela;Qualidade da Câmera;Desempenho;Dual Sim?;5g?;RAM;Memória;Tela;Câmera megapixel;Bateria (mAh);NFC(Tecnologia de aproximação);Menor valor a vista;Menor Parcelado;Loja
Samsung;Galaxy S22;6.8 ;8.7 ;8.6 ;8 ;8.7 ;Yes;Yes;8;256;6.1;50 Mp + 12 Mp + 10 Mp;3700 ;Yes;2699.10;2999.0;Samsung
Samsung;Galaxy S23 FE 128;6.3 ;8.2 ;8.5 ;8.7 ;6.2;Yes;Yes;8;128;6.4;50 Mp + 12 Mp + 8 Mp;4500 ;Yes;2969.10;3299.0;Samsung
Samsung;Galaxy S23 FE 256;6.3 ;8.2 ;8.5 ;8.7 ;6.2;Yes;Yes;8;256;6.4;50 Mp + 12 Mp + 8 Mp;4500 ;Yes;3329.10;3700.0;Samsung
Motorola;Edge 40;6.3 ;7.8 ;8.4 ;8.9 ;4.8 ;Yes;Yes;8;256;6.55;50 Mp + 13 Mp;4400 ;Yes;2249.10;2499.0;Americanas
Motorola;Edge 30 Fusion;6.7 ;8.7 ;8.4 ;8.5 ;8.7 ;Yes;Yes;8;256;6.6;50 Mp + 13 Mp + 2 Mp;4400 ;Yes;3149.10;3500.0;Magalu
Samsung;Galaxy S23 128;8.3 ;9 ;8.6 ;8.7 ;9.2 ;Yes;Yes;8;128;6.1;50 Mp + 10 Mp + 12 Mp;3900 ;Yes;3239.10;3600.0;Magalu
Samsung;Galaxy S23 256;8.3 ;9 ;8.6 ;8.7 ;9.2 ;Yes;Yes;8;256;6.1;50 Mp + 10 Mp + 12 Mp;3900 ;Yes;3600.0;4000.0;Samsung
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
